id,klass,score_gemma,score_robertuito,score_osth,score_ensemble
1,1,0.70703125,0.5627013444900513,0.6,0.6378745132684709
2,0,0.053466796875,0.4128393828868866,0.0,0.19366601452231408
3,1,0.9765625,0.513267457485199,0.0,0.6912717577815056
4,1,0.98828125,0.4334788918495178,0.8,0.7447581699490549
5,0,0.010986328125,0.44033387303352356,0.0,0.18377345100045206
6,0,0.53125,0.41780826449394226,0.8,0.5121810971200467
7,1,0.89453125,0.5608255863189697,0.8,0.7499273312091828
8,0,0.06005859375,0.47176605463027954,0.0,0.22079425603151323
9,1,0.98046875,0.5295310020446777,0.0,0.6997920870780945
10,0,0.408203125,0.5771775245666504,0.0,0.43581744432449343
11,0,0.75390625,0.5718457698822021,0.0,0.6047811305522919
12,1,0.9921875,0.5891646146774292,0.75,0.804744481444359
13,1,0.93359375,0.589252233505249,0.8,0.7807760608196259
14,1,0.98828125,0.5140236020088196,0.8,0.7773787775635719
15,0,0.005218505859375,0.5877991914749146,0.0,0.24064183294773106
16,0,0.53125,0.5069146752357483,0.0,0.468269193470478
17,1,0.95703125,0.5043680667877197,0.0,0.6779995357990265
18,1,0.9765625,0.47978514432907104,0.8,0.7577114209532738
19,0,0.796875,0.5429602265357971,0.0,0.6143520167469978
20,0,0.000335693359375,0.5523815155029297,0.0,0.22388068199157715
21,0,0.796875,0.3491501212120056,0.0,0.5358589240908623
22,1,0.984375,0.5831204652786255,0.75,0.7984294134378433
23,0,0.02294921875,0.5471429824829102,0.0,0.2329527711868286
24,0,0.0002307891845703125,0.42820629477500916,0.0,0.17353779003024103
25,1,0.97265625,0.6384246945381165,0.85,0.8250268450379371
26,1,0.98828125,0.5810371041297913,0.0,0.7245192459225654
27,1,0.9765625,0.46057385206222534,0.8,0.7499308475852013
28,1,0.9921875,0.4837067723274231,0.0,0.6870340552926064
29,0,0.033203125,0.6115400791168213,0.0,0.2641092789173126
30,1,0.99609375,0.451333224773407,0.8,0.7558563622832299
31,1,0.96875,0.4932001829147339,0.6,0.7392773240804673
32,0,0.0013275146484375,0.5940783023834229,0.0,0.24125883221626285
33,1,0.9609375,0.5127863883972168,0.75,0.7583425498008729
34,0,0.004058837890625,0.5512053370475769,0.0,0.22524728626012805
35,0,0.0013275146484375,0.519148588180542,0.0,0.21091229796409608
36,0,0.81640625,0.3079453110694885,0.0,0.5288389447331429
37,0,0.26953125,0.5368688106536865,0.75,0.42584983706474305
38,1,0.98828125,0.5534899234771729,0.0,0.713362637758255
39,0,0.00170135498046875,0.5634405016899109,0.0,0.22903557389974594
40,1,0.96875,0.43600061535835266,0.8,0.736111499220133
41,0,0.02294921875,0.464022696018219,0.0,0.1992890551686287
42,1,0.9765625,0.6005536317825317,0.6,0.7866226583719254
43,0,0.005218505859375,0.4871772825717926,0.0,0.19988995984196667
44,1,0.98828125,0.4839962124824524,0.8,0.7652176848053933
45,1,0.9921875,0.5675842761993408,0.75,0.796004444360733
46,0,0.00592041015625,0.3824893832206726,0.0,0.15783880323171615
47,1,0.96875,0.5638188123703003,0.8,0.7878778690099717
48,0,0.00860595703125,0.5813267827033997,0.0,0.23969729572534562
49,1,0.9921875,0.5577603578567505,0.6,0.7770257574319841
50,0,0.59375,0.4383053779602051,0.0,0.47141992807388305
51,1,0.99609375,0.5000540614128113,0.8,0.7755883011221887
52,0,0.119140625,0.4191826581954956,0.0,0.2287435859441757
53,1,0.984375,0.46860039234161377,0.8,0.7570487838983535
54,1,0.9921875,0.6091184616088867,0.8,0.8178257894515992
55,1,0.95703125,0.47230589389801025,0.6,0.7250143557786941
