id,klass,score_gemma
1,0,0.7057850360870361
2,0,0.14804719388484955
3,1,0.9324532747268677
4,1,0.9859364032745361
5,0,0.09534946084022522
6,0,0.622459352016449
7,0,0.7549149990081787
8,0,0.22270014882087708
9,1,0.9399133324623108
10,0,0.7057850360870361
11,1,0.851952850818634
12,1,0.9820137619972229
13,1,0.8807970285415649
14,1,0.9669140577316284
15,0,0.02595735713839531
16,1,0.8807970285415649
17,1,0.851952850818634
18,1,0.9324532747268677
19,0,0.7772998809814453
20,0,0.002182716503739357
21,1,0.8670357465744019
22,1,0.9669140577316284
23,0,0.03308597952127457
24,0,0.0024726232513785362
25,1,0.9669140577316284
26,1,0.9740425944328308
27,1,0.957912266254425
28,1,0.970687747001648
29,0,0.04742587357759476
30,1,0.9924227595329285
31,1,0.9465966820716858
32,0,0.007577240467071533
33,1,0.9465966820716858
34,0,0.008577484637498856
35,0,0.004609572701156139
36,0,0.622459352016449
37,0,0.531209409236908
38,1,0.9669140577316284
39,0,0.01098694372922182
40,1,0.970687747001648
41,0,0.02595735713839531
42,1,0.9626730680465698
43,0,0.16451644897460938
44,1,0.9796676635742188
45,1,0.9820137619972229
46,0,0.03308597952127457
47,1,0.8807970285415649
48,0,0.008577484637498856
49,1,0.9890130758285522
50,1,0.8807970285415649
51,1,0.9914224743843079
52,0,0.4073334336280823
53,1,0.9669140577316284
54,1,0.9859364032745361
55,1,0.9241418242454529
56,1,0.851952850818634
57,0,0.8354835510253906
58,0,0.29421496391296387
59,1,0.9324532747268677
60,0,0.2018132209777832
61,0,0.03308597952127457
62,0,0.004609572701156139
63,0,0.3208213150501251
64,0,0.7057850360870361
65,0,0.3775406777858734
66,0,0.7549149990081787
67,1,0.9820137619972229
68,1,0.9465966820716858
69,0,0.562176525592804
70,0,0.020332353189587593
71,0,0.13296423852443695
72,1,0.9399133324623108
73,1,0.851952850818634
74,0,0.562176525592804
75,0,0.3208213150501251
76,1,0.9669140577316284
77,1,0.9399133324623108
78,1,0.8670357465744019
79,0,0.03308597952127457
80,0,0.24508501589298248
81,1,0.9820137619972229
82,1,0.9465966820716858
83,0,0.2689414322376251
84,0,0.7772998809814453
85,0,0.042087726294994354
86,0,0.06754669547080994
87,1,0.970687747001648
88,0,0.5
89,0,0.06008664518594742
90,0,0.13296423852443695
91,0,0.562176525592804
92,0,0.4073334336280823
93,0,0.04742587357759476
94,0,0.01590639166533947
95,1,0.9149009585380554
96,0,0.020332353189587593
97,0,0.022977370768785477
98,0,0.3486451506614685
99,1,0.851952850818634
100,0,0.531209409236908
101,1,0.9840936064720154
102,0,0.0035936026833951473
103,1,0.9875683188438416
104,1,0.9525741338729858
105,0,0.5
106,0,0.7310585379600525
107,1,0.9626730680465698
108,1,0.970687747001648
109,1,0.851952850818634
110,0,0.4687906503677368
111,0,0.5926666259765625
112,0,0.09534946084022522
113,1,0.9740425944328308
114,0,0.006692850962281227
115,1,0.9890130758285522
116,0,0.2689414322376251
117,1,0.9820137619972229
118,0,0.008577484637498856
119,1,0.9324532747268677
120,1,0.9796676635742188
121,0,0.8175744414329529
122,1,0.9840936064720154
123,0,0.7057850360870361
124,0,0.14804719388484955
125,1,0.9890130758285522
126,1,0.9740425944328308
127,0,0.622459352016449
128,0,0.14804719388484955
129,0,0.03308597952127457
130,1,0.9465966820716858
131,0,0.005220125894993544
132,0,0.6513549089431763
133,0,0.022977370768785477
134,0,0.03308597952127457
135,0,0.14804719388484955
136,0,0.014063626527786255
137,1,0.851952850818634
138,0,0.02595735713839531
139,1,0.9902915358543396
140,1,0.9241418242454529
141,0,0.01798621006309986
142,0,0.04742587357759476
143,1,0.9669140577316284
144,0,0.01243165135383606
145,0,0.562176525592804
146,1,0.970687747001648
147,0,0.2689414322376251
148,0,0.10669060051441193
149,0,0.16451644897460938
150,0,0.4687906503677368
151,1,0.9902915358543396
152,1,0.9324532747268677
153,0,0.01590639166533947
154,1,0.9740425944328308
155,0,0.03308597952127457
156,0,0.042087726294994354
157,1,0.9525741338729858
158,0,0.7549149990081787
159,1,0.9902915358543396
160,0,0.014063626527786255
161,1,0.9399133324623108
162,0,0.531209409236908
163,0,0.8175744414329529
164,1,0.9875683188438416
165,0,0.8175744414329529
166,1,0.8670357465744019
167,1,0.9796676635742188
168,1,0.9902915358543396
169,0,0.24508501589298248
170,0,0.006692850962281227
171,0,0.5
172,0,0.01243165135383606
173,1,0.9324532747268677
174,0,0.06008664518594742
175,0,0.4687906503677368
176,0,0.0534033328294754
177,0,0.004609572701156139
178,0,0.01098694372922182
179,0,0.005220125894993544
180,1,0.9902915358543396
181,0,0.13296423852443695
182,0,0.43782350420951843
183,0,0.16451644897460938
184,0,0.2018132209777832
185,0,0.2018132209777832
186,0,0.622459352016449
187,1,0.977022647857666
188,0,0.22270014882087708
189,0,0.11920291930437088
190,1,0.9324532747268677
191,0,0.3775406777858734
192,0,0.06754669547080994
193,0,0.020332353189587593
194,0,0.5926666259765625
195,0,0.18242551386356354
196,0,0.14804719388484955
197,0,0.022977370768785477
198,0,0.009708477184176445
199,0,0.3486451506614685
200,0,0.531209409236908
201,1,0.9902915358543396
202,1,0.9740425944328308
203,1,0.9840936064720154
204,0,0.22270014882087708
205,0,0.02931223064661026
206,0,0.042087726294994354
207,1,0.9740425944328308
208,0,0.009708477184176445
209,0,0.8175744414329529
210,1,0.9859364032745361
211,1,0.9740425944328308
212,0,0.7549149990081787
213,1,0.9902915358543396
214,0,0.2689414322376251
215,0,0.29421496391296387
216,1,0.9902915358543396
217,0,0.02931223064661026
218,0,0.2689414322376251
219,0,0.005220125894993544
220,1,0.9149009585380554
