id,klass
1,0
2,0
3,1
4,0
5,0
6,1
7,0
8,0
9,0
10,1
11,1
12,1
13,0
14,0
15,0
16,1
17,0
18,1
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,1
31,1
32,0
33,0
34,0
35,1
36,1
37,0
38,0
39,1
40,1
41,1
42,0
43,0
44,1
45,0
46,0
47,1
48,1
49,1
50,1
51,0
52,0
53,1
54,1
55,1
56,0
57,0
58,0
59,1
60,0
61,1
62,0
63,1
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,1
73,0
74,0
75,1
76,0
77,1
78,0
79,0
80,1
81,0
82,1
83,1
84,0
85,1
86,0
87,1
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,1
97,0
98,0
99,1
100,1
101,0
102,1
103,0
104,1
105,0
106,0
107,0
108,0
109,1
110,0
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,1
122,1
123,0
124,0
125,0
126,1
127,0
128,1
129,0
130,0
131,0
132,1
133,0
134,0
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,0
143,0
144,0
145,0
146,0
147,1
148,1
149,0
150,0
151,1
152,0
153,0
154,1
155,0
156,1
157,1
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,1
170,1
171,0
172,1
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,1
183,1
184,1
185,0
186,0
187,1
188,1
189,1
190,0
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,1
199,0
200,1
201,0
202,0
203,1
204,0
205,1
206,1
207,0
208,0
209,0
210,0
211,1
212,1
213,1
214,0
215,1
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,0
227,0
228,0
229,1
230,0
231,0
232,0
233,1
234,1
235,0
236,1
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,1
248,0
249,0
250,0
251,1
252,0
253,1
254,1
255,0
256,1
257,0
258,1
259,0
260,1
261,1
262,1
263,1
264,0
265,0
266,0
267,0
268,1
269,0
270,0
271,0
272,1
273,1
274,1
275,0
276,1
277,1
278,1
279,1
280,0
