id,klass,score
1,1,0.9070027412733612
2,0,0.0048460709105046
3,0,0.004122077823396025
4,0,0.16658774288043857
5,0,0.00845840570971466
6,0,0.42744286991306457
7,1,0.636636249100502
8,0,0.01651826458247061
9,0,0.00748975931437422
10,1,0.6814497060039901
11,1,0.7798816942302704
12,1,0.9839497892068101
13,0,0.5433347978130646
14,0,0.016088130273231877
15,1,0.9729943102981948
16,0,0.10894074376349605
17,0,0.0027598881910912048
18,0,0.0025130591610912053
19,0,0.00244869039575616
20,0,0.005646840260751466
21,0,0.13063061901131628
22,1,0.8212058655653762
23,0,0.026929825761026528
24,1,0.7657869236665039
25,0,0.02355840538247061
26,0,0.07263096090936774
27,0,0.002144427116486835
28,0,0.1930811941434265
29,0,0.002369171531486835
30,1,0.98748884920681
31,0,0.008763179364374221
32,0,0.17791487765445632
33,0,0.002245332548781105
34,0,0.548995230366504
35,1,0.9911776323053207
36,0,0.14801478848357003
37,1,0.931526096082344
38,1,0.6320400418847656
39,0,0.4137290146353226
40,0,0.5278626158144409
41,1,0.995387602336113
42,0,0.380292216
43,0,0.004240537998086325
44,1,0.9882039576284485
45,1,0.9946952834404831
46,1,0.9927564286964035
47,0,0.2693442289544563
48,1,0.9450031313813401
49,0,0.005534763856745775
50,0,0.004183081241531425
51,0,0.039372285789159016
52,1,0.98080576538134
53,1,0.9346733100823441
54,1,0.9337064350823441
55,0,0.0023742834463417097
56,0,0.03680037074415902
57,1,0.950042232572464
58,0,0.010563132303596474
59,0,0.00392396362066038
60,0,0.0031619456930863247
61,0,0.08927468264088398
62,1,0.8789268719314194
63,1,0.964157757248497
64,1,0.9584903761005019
65,0,0.023645708988828423
66,0,0.33147045105
67,0,0.04691118408102644
68,0,0.00202908394291932
69,0,0.15535684802515218
70,0,0.39323405763532254
71,0,0.21571716168258132
72,0,0.0029791753913417096
73,1,0.953284231107483
74,0,0.14865445688357004
75,0,0.0062296158817457745
76,0,0.05235524814045562
77,0,0.005030783910751465
78,0,0.0035078921762818046
79,1,0.9604018083465957
80,0,0.05145739223045562
81,0,0.0026377457671139153
82,0,0.558219651166504
83,1,0.9773148580510712
84,0,0.004934254110504599
85,0,0.00461043997066038
